month,sku,average-quantity,end-quantity,fulfillment-center-id,detailed-disposition,country
06/2019,HM0742-2239,18.77,27,MDT2,SELLABLE,US
06/2019,HM0725-2538,1.7,5,MDT2,SELLABLE,US
06/2019,HM0739-237,8,8,BNA3,SELLABLE,US
06/2019,HM0752-3139,0.03,1,JFK8,SELLABLE,US
06/2019,HM0725-140,0.2,0,JFK8,SELLABLE,US
06/2019,HM0505-1739/40,0.03,0,IND1,SELLABLE,US
06/2019,HM0714-241,8,12,MDT2,SELLABLE,US
06/2019,HM0717-140,0.07,0,LAS2,SELLABLE,US
06/2019,HM0728-1841,6.83,8,MDT2,SELLABLE,US
06/2019,HM0715-3238,4.57,4,MDT2,SELLABLE,US
06/2019,HM0803-3246,3.03,2,MDT2,SELLABLE,US
06/2019,HM0731-H-40,0.03,0,PHL7,SELLABLE,US
06/2019,HM0801-B-40,0.03,0,*XFR,SELLABLE,
06/2019,HM0505-1741/42,0.57,0,MDT2,SELLABLE,US
06/2019,HM0742-2240,0.23,1,SDF9,SELLABLE,US
06/2019,HM0731-Y-37,18.53,23,MDT2,SELLABLE,US
06/2019,HM0729-M-38,3.93,4,MDT2,SELLABLE,US
06/2019,HM0701-B-37,0.03,0,*XFR,SELLABLE,
06/2019,HM0709-1938,0.07,0,ABE2,SELLABLE,US
06/2019,HM0803-3246,0.43,0,JFK8,SELLABLE,US
06/2019,HM0731-Z-41,0.17,0,SDF9,SELLABLE,US
06/2019,HM0709-1940,0.17,0,PHX3,SELLABLE,US
06/2019,HM0737-F-39,19.17,27,MDT2,SELLABLE,US
06/2019,HM0738-138,14.23,17,MDT2,SELLABLE,US
06/2019,HM0701-B-40,0.07,2,DCA1,SELLABLE,US
06/2019,HM0701-B-40,0.03,0,ONT6,SELLABLE,US
06/2019,HM0722-H-40,0.03,0,DCA1,SELLABLE,US
06/2019,HM0739-239,3.37,5,MDT2,SELLABLE,US
06/2019,HM0725-139,0.03,0,ABE2,SELLABLE,US
06/2019,HM0711-2639,4,6,MDT2,SELLABLE,US
06/2019,HM0741-1639,3.33,12,MDT2,SELLABLE,US
06/2019,HM0731-Z-37,10.5,12,MDT2,SELLABLE,US
06/2019,HM0751-2240,2.4,12,MDT2,SELLABLE,US
06/2019,HM0801-2045,0.03,0,JFK8,SELLABLE,US
06/2019,HM0701-1237,0.03,0,IND1,SELLABLE,US
06/2019,HM0753-935,3.63,5,MDT2,SELLABLE,US
06/2019,HM0741-1640,0.03,0,*XFR,SELLABLE,
06/2019,HM0729-M-42,5.6,5,IND4,SELLABLE,US
06/2019,HM0733-1740,0.77,0,MDT2,SELLABLE,US
06/2019,HM0738-Z-37,0.03,0,MIA7,SELLABLE,US
06/2019,HM0807-143,0.13,1,SDF9,SELLABLE,US
06/2019,HM0709-1238,4.77,4,IND4,SELLABLE,US
06/2019,HM0719-1241,0.03,0,*XFR,SELLABLE,
06/2019,HM0731-H-38,0.1,0,*XFR,SELLABLE,
06/2019,HM0709-1940,0.03,0,ABE2,SELLABLE,US
06/2019,HM0739-241,0.03,0,*XFR,SELLABLE,
06/2019,HM0733-1741,6,7,MDT2,SELLABLE,US
06/2019,HM0701-B-38,5.27,22,MDT2,SELLABLE,US
06/2019,HM0744-2042,0.2,1,ACY1,SELLABLE,US
06/2019,HM0731-Y-41,0.07,0,SDF9,SELLABLE,US
06/2019,HM0709-1239,0.47,1,EWR9,SELLABLE,US
06/2019,HM0731-Y-39,27.07,31,MDT2,SELLABLE,US
06/2019,HM0701-1236,0.07,0,CHA1,SELLABLE,US
06/2019,HM0753-1941,4.63,11,MDT2,SELLABLE,US
06/2019,HM0719-1239,0.33,1,JFK8,SELLABLE,US
06/2019,HM0731-Y-35,0.4,1,PHX3,SELLABLE,US
06/2019,HM0722-M-40,0.03,0,BUF9,SELLABLE,US
06/2019,HM0747-0140,0.23,0,*XFR,SELLABLE,
06/2019,HM0747-0139,0.03,0,EWR4,SELLABLE,US
06/2019,HM0742-0242,0.03,0,LAS2,SELLABLE,US
06/2019,HM0701-1237,0.2,0,LEX1,SELLABLE,US
06/2019,HM0701-F-36,2.17,2,ONT6,SELLABLE,US
06/2019,HM0747-0135,1,1,IND1,SELLABLE,US
06/2019,HM0701-H-42,20.5,17,MDT2,SELLABLE,US
06/2019,HM0731-Z-38,0.13,0,*XFR,SELLABLE,
06/2019,HM0724-F-41,0.23,0,*XFR,SELLABLE,
06/2019,HM0701-F-41,0.1,0,CHA1,SELLABLE,US
06/2019,HM0722-H-36,4.13,0,MDT2,SELLABLE,US
06/2019,HM0751-2239,2.4,12,MDT2,SELLABLE,US
06/2019,HM0801-2045,6,4,MDT2,SELLABLE,US
06/2019,HM0701-H-41,0.07,0,LAS2,SELLABLE,US
06/2019,HM0505-1745/46,17.6,17,IND4,SELLABLE,US
06/2019,HM0738-H-40,0.03,0,ACY1,SELLABLE,US
06/2019,HM0803-1243,0.1,1,IND8,SELLABLE,US
06/2019,HM0701-1840,0.13,0,*XFR,SELLABLE,
06/2019,HM0742-0240,0.2,0,CHA1,SELLABLE,US
06/2019,HM0738-V-41,0.17,0,BNA3,SELLABLE,US
06/2019,HM0725-139,0.03,0,IND4,SELLABLE,US
06/2019,HM0722-L-40,0.43,0,SDF9,SELLABLE,US
06/2019,HM0701-H-42,0.13,0,ABE2,SELLABLE,US
06/2019,HM0737-Z-36,1.2,6,MDT2,SELLABLE,US
06/2019,HM0737-F-40,0.03,0,EWR4,SELLABLE,US
06/2019,HM0701-H-36,1.87,0,ABE3,SELLABLE,US
06/2019,HM0731-H-38,0.17,0,HIO9,SELLABLE,US
06/2019,HM0719-1239,0.1,0,ABE2,SELLABLE,US
06/2019,HM0751-239,2.6,9,MDT2,SELLABLE,US
06/2019,HM0747-0139,0.23,0,ACY1,SELLABLE,US
06/2019,HM0701-F-42,0.37,0,SDF9,SELLABLE,US
06/2019,HM0733-1737,4.2,6,MDT2,SELLABLE,US
06/2019,HM0701-H-38,0.03,0,PHX3,SELLABLE,US
06/2019,HM0701-X-40,0.03,1,ACY1,SELLABLE,US
06/2019,HM0747-0139,0.07,0,LAS2,SELLABLE,US
06/2019,HM0724-F-36,0.03,0,ACY1,SELLABLE,US
06/2019,HM0706-M-41,4.2,6,MDT2,SELLABLE,US
06/2019,HM0722-L-40,0.13,0,DCA1,SELLABLE,US
06/2019,HM0741-1636,2.77,3,MDT2,SELLABLE,US
06/2019,HM0722-X-40,0.5,0,MDT2,SELLABLE,US
06/2019,HM0753-942,5.87,16,MDT2,SELLABLE,US
06/2019,HM0729-L-37,0.03,0,*XFR,SELLABLE,
06/2019,HM0741-0238,0.17,0,DCA1,SELLABLE,US
06/2019,HM0731-H-37,0.03,0,MKE1,SELLABLE,US
06/2019,HM0731-Z-40,0.3,1,JFK8,SELLABLE,US
06/2019,HM0741-0241,0.03,0,JFK8,SELLABLE,US
06/2019,HM0738-H-39,15.03,19,MDT2,SELLABLE,US
06/2019,HM0801-2045,0.07,0,MIA7,SELLABLE,US
06/2019,HM0737-F-40,0.13,0,SDF9,SELLABLE,US
06/2019,HM0701-X-42,4.17,0,MDT2,SELLABLE,US
06/2019,HM0738-Z-40,0.2,1,SDF9,SELLABLE,US
06/2019,HM0722-M-40,11.73,17,MDT2,SELLABLE,US
06/2019,HM0701-X-40,0.03,0,PHL7,SELLABLE,US
06/2019,HM0719-1241,0.07,0,IND1,SELLABLE,US
06/2019,HM0706-L-37,0.1,0,ONT6,SELLABLE,US
06/2019,HM0759-1037,2.63,11,MDT2,SELLABLE,US
06/2019,HM0725-2535,0.9,0,BNA3,SELLABLE,US
06/2019,HM0724-M-39,0.03,0,*XFR,SELLABLE,
06/2019,HM0903-1635,0.3,0,SDF9,CUSTOMER_DAMAGED,US
06/2019,HM0733-1739,7.63,11,MDT2,SELLABLE,US
06/2019,HM0738-L-39,3.2,4,MDT2,SELLABLE,US
06/2019,HM0741-0236,0.23,1,ACY1,SELLABLE,US
06/2019,HM0709-1940,0.03,0,ONT6,SELLABLE,US
06/2019,HM0740-3240,0.13,0,PHX3,SELLABLE,US
06/2019,HM0724-F-39,0.07,0,SDF9,CUSTOMER_DAMAGED,US
06/2019,HM0725-2536,0.27,1,IND1,SELLABLE,US
06/2019,HM0803-1244,0.03,0,JFK8,SELLABLE,US
06/2019,HM0709-238,2.3,2,IND4,SELLABLE,US
06/2019,HM0738-L-36,0.37,0,PHX3,SELLABLE,US
06/2019,HM0701-H-41,0.07,0,PHX3,SELLABLE,US
06/2019,HM0739-137,8.87,10,MDT2,SELLABLE,US
06/2019,HM0748-1735,2.33,1,BNA3,SELLABLE,US
06/2019,HM0701-H-37,1.27,0,SDF9,SELLABLE,US
06/2019,HM0742-0237,0.03,0,SDF8,SELLABLE,US
06/2019,HM0722-H-40,0.23,0,SDF9,CUSTOMER_DAMAGED,US
06/2019,HM0739-241,3.57,6,MDT2,SELLABLE,US
06/2019,HM0722-L-39,0.03,0,ABE2,SELLABLE,US
06/2019,HM0738-V-35,4.1,3,BNA3,SELLABLE,US
06/2019,HM0903-1634,8.67,7,MDT2,SELLABLE,US
06/2019,HM0744-2042,0.1,0,HIO9,SELLABLE,US
06/2019,HM0722-H-36,0.03,0,CHA1,SELLABLE,US
06/2019,HM0706-L-42,1.83,5,MDT2,SELLABLE,US
06/2019,HM0715-3240,0.03,0,CMH1,SELLABLE,US
06/2019,HM0701-X-38,0.03,0,PHL7,SELLABLE,US
06/2019,HM0701-2138,3.67,3,MDT2,SELLABLE,US
06/2019,HM0741-1635,2.43,2,MDT2,SELLABLE,US
06/2019,HM0724-F-42,2.37,1,MDT2,SELLABLE,US
06/2019,HM0739-242,12.27,18,MDT2,SELLABLE,US
06/2019,HM0742-0239,5.3,21,MDT2,SELLABLE,US
06/2019,HM0722-L-36,0.93,0,MDT2,SELLABLE,US
06/2019,HM0701-F-41,6.13,17,MDT2,SELLABLE,US
06/2019,HM0709-1938,17.43,15,MDT2,SELLABLE,US
06/2019,HM0722-L-39,0.03,0,LEX2,DEFECTIVE,US
06/2019,HM0737-F-37,0.37,0,ACY1,SELLABLE,US
06/2019,HM0505-1739/40,0.73,1,DCA1,SELLABLE,US
06/2019,HM0701-R-40,0.23,1,SDF9,SELLABLE,US
06/2019,HM0731-Y-38,0.2,0,ACY1,SELLABLE,US
06/2019,HM0731-Z-40,0.03,0,SDF8,SELLABLE,US
06/2019,HM0731-Z-39,0.23,0,DCA1,SELLABLE,US
06/2019,HM0738-139,7,19,MDT2,SELLABLE,US
06/2019,HM0707-840,0.03,1,*XFR,SELLABLE,
06/2019,HM0801-B-44,0.13,0,*XFR,SELLABLE,
06/2019,HM0701-H-42,0.07,0,IND1,SELLABLE,US
06/2019,HM0728-1841,0.07,0,SDF9,SELLABLE,US
06/2019,HM0903-1233,1,1,IND4,SELLABLE,US
06/2019,HM0722-B-37,0.1,0,CHA1,SELLABLE,US
06/2019,HM0725-140,8.13,5,MDT2,SELLABLE,US
06/2019,HM0737-F-35,0.4,0,PHX3,SELLABLE,US
06/2019,HM0725-2540,0.03,0,ABE2,SELLABLE,US
06/2019,HM0701-1839,0.13,0,MKE1,SELLABLE,US
06/2019,HM0731-H-39,0.43,0,ACY1,SELLABLE,US
06/2019,HM0722-C-38,0.27,0,PHL7,SELLABLE,US
06/2019,HM0722-H-40,0.03,0,PHL7,SELLABLE,US
06/2019,HM0725-2540,1.27,6,MDT2,SELLABLE,US
06/2019,HM0719-1241,0.03,0,ABE2,SELLABLE,US
06/2019,HM0701-1239,0.03,0,ACY1,SELLABLE,US
06/2019,HM0722-C-38,10.97,1,MDT2,SELLABLE,US
06/2019,HM0753-1935,4.2,6,MDT2,SELLABLE,US
06/2019,HM0505-2031/32,1,1,SDF9,SELLABLE,US
06/2019,HM0733-1742,4,4,MDT2,SELLABLE,US
06/2019,HM0737-F-35,0.03,0,ABE2,SELLABLE,US
06/2019,HM0742-0241,0.1,0,JFK8,SELLABLE,US
06/2019,HM0722-H-39,0.13,0,SDF9,SELLABLE,US
06/2019,HM0701-H-40,0.07,0,CHA1,SELLABLE,US
06/2019,HM0713-740,0.37,0,BNA3,SELLABLE,US
06/2019,HM0724-F-36,0.8,0,PHX3,SELLABLE,US
06/2019,HM0731-Z-38,12.67,16,MDT2,SELLABLE,US
06/2019,HM0742-0238,3.03,1,MDT2,SELLABLE,US
06/2019,HM0724-M-37,0.03,0,EWR4,SELLABLE,US
06/2019,HM0719-1239,0.03,1,*XFR,SELLABLE,
06/2019,HM0722-M-37,1,1,SDF9,SELLABLE,US
06/2019,HM0701-H-36,2.23,10,MDT2,SELLABLE,US
06/2019,HM0722-C-40,0.03,0,PHL7,SELLABLE,US
06/2019,HM0748-1739,0.1,0,PHX6,SELLABLE,US
06/2019,HM0738-L-37,0.1,0,SDF9,SELLABLE,US
06/2019,HM0725-137,1.23,4,MDT2,SELLABLE,US
06/2019,HM0701-X-40,0.13,0,DFW7,SELLABLE,US
06/2019,HM0505-1743/44,1.3,1,MDT2,SELLABLE,US
06/2019,HM0709-1241,1.97,1,SDF9,SELLABLE,US
06/2019,HM0742-2239,0.1,0,ACY1,SELLABLE,US
06/2019,HM0731-H-35,3.87,5,MDT2,SELLABLE,US
06/2019,HM0731-Z-39,0.03,0,ABE2,SELLABLE,US
06/2019,HM0701-F-38,0.1,1,ACY1,SELLABLE,US
06/2019,HM0738-V-39,0.03,0,DCA1,SELLABLE,US
06/2019,HM0738-Z-36,0.07,0,*XFR,SELLABLE,
06/2019,HM0740-3242,2.23,11,MDT2,SELLABLE,US
06/2019,HM0728-1841,0.03,0,*XFR,SELLABLE,
06/2019,HM0701-F-40,0.07,0,ONT6,SELLABLE,US
06/2019,HM0729-M-39,1.13,0,IND4,SELLABLE,US
06/2019,HM0738-L-35,0.03,0,LAS2,SELLABLE,US
06/2019,HM0713-741,21,23,MDT2,SELLABLE,US
06/2019,HM0701-1141,2.4,12,MDT2,SELLABLE,US
06/2019,HM0738-141,2.87,1,MDT2,SELLABLE,US
06/2019,HM0722-X-36,0.87,0,PHX3,SELLABLE,US
06/2019,HM0701-1236,0.8,0,BNA3,SELLABLE,US
06/2019,HM0701-1840,0.03,0,LAS2,SELLABLE,US
06/2019,HM0731-H-39,6.4,17,MDT2,SELLABLE,US
06/2019,HM0701-B-41,0.1,0,IND1,SELLABLE,US
06/2019,HM0722-H-36,0.1,0,JFK8,WAREHOUSE_DAMAGED,US
06/2019,HM0722-H-40,0.13,0,ACY1,SELLABLE,US
06/2019,HM0737-F-38,17.03,14,MDT2,SELLABLE,US
06/2019,HM0740-3241,3.9,16,MDT2,SELLABLE,US
06/2019,HM0722-C-39,0.1,0,LAS2,SELLABLE,US
06/2019,HM0738-V-40,1.53,0,MDT2,SELLABLE,US
06/2019,HM0731-Y-38,0.77,0,CHA1,SELLABLE,US
06/2019,HM0722-L-40,0.03,0,MIA7,SELLABLE,US
06/2019,HM0724-M-42,0.07,0,*XFR,SELLABLE,
06/2019,HM0747-0137,2.57,9,MDT2,SELLABLE,US
06/2019,HM0701-1136,6,6,MDT2,SELLABLE,US
06/2019,HM0753-941,0.17,1,PHL7,SELLABLE,US
06/2019,HM0701-1237,0.1,0,SDF9,SELLABLE,US
06/2019,HM0725-139,0.07,0,IND8,SELLABLE,US
06/2019,HM0701-B-36,0.17,0,PHX3,SELLABLE,US
06/2019,HM0738-139,0.13,0,SDF9,SELLABLE,US
06/2019,HM0722-C-36,2.27,11,MDT2,SELLABLE,US
06/2019,HM0751-238,1.93,9,MDT2,SELLABLE,US
06/2019,HM0724-M-42,0.03,0,LAS2,SELLABLE,US
06/2019,HM0738-140,0.03,0,PHL7,SELLABLE,US
06/2019,HM0741-1642,0.07,0,PHL7,SELLABLE,US
06/2019,HM0505-1741/42,31.1,27,IND4,SELLABLE,US
06/2019,HM0742-0237,0.03,0,*XFR,SELLABLE,
06/2019,HM0701-F-41,0.27,0,PHX3,SELLABLE,US
06/2019,HM0701-X-40,0.3,1,PHX3,WAREHOUSE_DAMAGED,US
06/2019,HM0701-1240,0.13,0,PHL7,SELLABLE,US
06/2019,HM0505-2035/36,20,20,IND4,SELLABLE,US
06/2019,HM0739-241,0.07,0,LEX1,SELLABLE,US
06/2019,HM0701-B-39,0.03,0,JFK8,SELLABLE,US
06/2019,HM0742-2242,0.07,1,DCA1,SELLABLE,US
06/2019,HM0701-H-40,0.07,0,DCA1,SELLABLE,US
06/2019,HM0701-H-41,0.2,0,*XFR,SELLABLE,
06/2019,HM0731-Y-42,0.03,0,LGA9,SELLABLE,US
06/2019,HM0903-1636,0.2,0,SDF9,CUSTOMER_DAMAGED,US
06/2019,HM0731-Y-41,0.4,0,EWR4,SELLABLE,US
06/2019,HM0741-1641,0.03,0,ACY1,SELLABLE,US
06/2019,HM0731-Y-40,0.13,0,DCA1,SELLABLE,US
06/2019,HM0722-L-39,0.07,0,SDF8,SELLABLE,US
06/2019,HM0701-X-38,0.03,0,MIA7,SELLABLE,US
06/2019,HM0722-H-37,0.03,0,LEX1,SELLABLE,US
06/2019,HM0903-1636,4.27,5,MDT2,SELLABLE,US
06/2019,HM0719-1238,1.33,4,MDT2,SELLABLE,US
06/2019,HM0722-L-38,4.87,24,MDT2,SELLABLE,US
06/2019,HM0737-Z-36,0.47,0,SDF9,SELLABLE,US
06/2019,HM0722-H-36,0.03,0,JFK8,SELLABLE,US
06/2019,HM0724-F-38,0.07,0,LAS2,SELLABLE,US
06/2019,HM0801-B-44,0.13,0,HIO9,SELLABLE,US
06/2019,HM0731-Y-41,0.1,0,DCA1,SELLABLE,US
06/2019,HM0701-F-40,4.5,6,MDT2,SELLABLE,US
06/2019,HM0709-1941,0.03,0,*XFR,SELLABLE,
06/2019,HM0701-2141,3.57,4,MDT2,SELLABLE,US
06/2019,HM0505-1735/36,0.7,1,SDF8,SELLABLE,US
06/2019,HM0724-F-42,0.53,0,DCA1,SELLABLE,US
06/2019,HM0724-M-42,0.1,0,PHX3,SELLABLE,US
06/2019,HM0759-1038,2.37,11,MDT2,SELLABLE,US
06/2019,HM0722-H-39,0.03,0,*XFR,SELLABLE,
06/2019,HM0701-1235,2,2,BNA3,SELLABLE,US
06/2019,HM0738-H-38,0.23,0,BNA3,SELLABLE,US
06/2019,HM0701-1135,6,6,MDT2,SELLABLE,US
06/2019,HM0722-H-40,0.07,0,JFK8,SELLABLE,US
06/2019,HM0701-B-42,0.1,0,SDF8,SELLABLE,US
06/2019,HM0711-2641,2.97,3,MDT2,SELLABLE,US
06/2019,HM0722-L-38,0.17,0,*XFR,SELLABLE,
06/2019,HM0701-F-41,0.03,0,LAS2,SELLABLE,US
06/2019,HM0801-B-44,0.13,1,SDF9,SELLABLE,US
06/2019,HM0738-V-41,0.03,0,MDT2,SELLABLE,US
06/2019,HM0706-L-39,0.63,0,ONT6,SELLABLE,US
06/2019,HM0740-3239,0.07,0,PHX3,SELLABLE,US
06/2019,HM0722-H-38,0.03,0,MIA7,SELLABLE,US
06/2019,HM0803-3245,0.03,0,DFW7,SELLABLE,US
06/2019,HM0747-0136,2,2,MDT2,SELLABLE,US
06/2019,HM0737-Z-38,0.13,0,*XFR,SELLABLE,
06/2019,HM0733-1740,0.17,0,DCA1,SELLABLE,US
06/2019,HM0739-135,2,2,BNA3,SELLABLE,US
06/2019,HM0731-Y-40,0.13,0,ACY1,SELLABLE,US
06/2019,HM0722-L-37,0.07,0,*XFR,SELLABLE,
06/2019,HM0505-1731/32,1,1,IND1,SELLABLE,US
06/2019,HM0722-H-36,0.83,0,MDT2,CUSTOMER_DAMAGED,US
06/2019,HM0709-1936,0.87,0,MDT2,SELLABLE,US
06/2019,HM0731-Y-36,0.03,0,DCA1,SELLABLE,US
06/2019,HM0738-Z-36,0.07,0,LAS2,SELLABLE,US
06/2019,HM0725-140,0.03,0,ABE2,SELLABLE,US
06/2019,HM0722-L-37,2.63,11,MDT2,SELLABLE,US
06/2019,HM0751-241,0.1,1,ABE2,SELLABLE,US
06/2019,HM0803-3244,1.43,1,SDF9,SELLABLE,US
06/2019,HM0701-R-36,0.03,1,RIC9,SELLABLE,US
06/2019,HM0701-H-35,0.03,0,ABE2,SELLABLE,US
06/2019,HM0801-Y-45,6.5,5,MDT2,SELLABLE,US
06/2019,HM0722-L-37,0.03,0,SDF8,SELLABLE,US
06/2019,HM0709-1241,0.03,0,IND1,SELLABLE,US
06/2019,HM0731-Y-35,0.13,0,*XFR,SELLABLE,
06/2019,HM0725-2539,0.03,0,ACY1,SELLABLE,US
06/2019,HM0505-1743/44,11.47,10,IND4,SELLABLE,US
06/2019,HM0731-Y-38,17.3,9,MDT2,SELLABLE,US
06/2019,HM0701-B-40,0.03,0,*XFR,SELLABLE,
06/2019,HM0752-3140,3.57,5,MDT2,SELLABLE,US
06/2019,HM0738-137,0.03,0,JFK8,SELLABLE,US
06/2019,HM0751-236,2.8,12,MDT2,SELLABLE,US
06/2019,HM0722-C-38,0.03,1,DCA1,SELLABLE,US
06/2019,HM0738-V-36,0.03,0,*XFR,SELLABLE,
06/2019,HM0731-Z-42,0.1,0,LAS2,SELLABLE,US
06/2019,HM0701-2141,0.03,0,RIC9,SELLABLE,US
06/2019,HM0903-1634,0.03,0,JFK8,SELLABLE,US
06/2019,HM0706-L-38,1,1,SDF9,SELLABLE,US
06/2019,HM0729-M-42,0.03,0,OAK4,SELLABLE,US
06/2019,HM0747-0139,0.17,1,*XFR,SELLABLE,
06/2019,HM0739-242,0.53,1,ONT6,SELLABLE,US
06/2019,HM0701-X-41,0.03,1,JFK8,SELLABLE,US
06/2019,HM0706-L-40,5.4,14,MDT2,SELLABLE,US
06/2019,HM0505-1039/40,2,2,MDT2,SELLABLE,US
06/2019,HM0903-1634,0.1,0,CHA1,SELLABLE,US
06/2019,HM0744-2042,0.17,0,*XFR,SELLABLE,
06/2019,HM0742-0237,2.03,0,IND4,SELLABLE,US
06/2019,HM0753-938,6.8,18,MDT2,SELLABLE,US
06/2019,HM0731-Z-39,0.03,0,ONT6,SELLABLE,US
