sku,fulfilled-by,your-price,sales-price,longest-side,median-side,shortest-side,length-and-girth,unit-of-dimension,item-package-weight,unit-of-weight,product-size-tier,currency,estimated-fee-total,estimated-referral-fee-per-unit,estimated-variable-closing-fee,estimated-order-handling-fee-per-order,estimated-pick-pack-fee-per-unit,estimated-weight-handling-fee-per-unit,expected-fulfillment-fee-per-unit
HM0724-M-40,Amazon,14.99,14.99,10.98,4.41,2.8,25.39,inches,0.9,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0741-1642,Amazon,15.99,15.99,10.87,4.8,2.2,24.87,inches,0.79,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0701-1139,Amazon,13.99,13.99,10.91,4.8,2.8,26.1,inches,1.1,pounds,Lg-Std-Non-Media,USD,6.86,2.1,0,--,--,--,4.76
HM0739-138,Amazon,15.99,15.99,10.85,4.3,3.05,25.55,inches,0.88,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0744-2036,Amazon,14.99,14.99,10.9,4.4,2.8,25.3,inches,0.85,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0738-H-40,Amazon,14.99,14.99,10.79,4.29,2.91,25.2,inches,0.93,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0724-M-39,Amazon,15.99,15.99,10.98,4.29,2.8,25.16,inches,0.9,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0753-1935,Amazon,15.99,15.99,10.8,4.3,2.9,25.2,inches,0.85,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0739-242,Amazon,15.99,15.99,11.55,4.55,2.95,26.54,inches,1.07,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0731-H-40,Amazon,16.99,16.99,10.91,4.29,2.8,25.08,inches,1,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0724-M-36,Amazon,15.99,15.99,10.9,4.4,2.8,25.3,inches,0.85,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0738-Z-37,Amazon,15.99,15.99,10.79,4.29,2.91,25.2,inches,0.88,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0759-1036,Amazon,16.99,16.99,10.83,4.13,3.94,26.97,inches,1.21,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0752-238,Amazon,15.99,15.99,10.85,4.3,3.05,25.55,inches,0.88,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0759-3235,Amazon,16.99,16.99,10.9,4.3,4.1,27.69,inches,1.15,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0725-2537,Amazon,16.99,16.99,10.91,4.29,4.09,27.68,inches,1.15,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0701-R-38,Amazon,14.99,14.99,10.79,4.29,2.8,24.96,inches,0.93,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0709-241,Amazon,10.99,15.99,10.98,4.29,2.8,25.16,inches,1.2,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0753-1942,Amazon,15.99,15.99,10.87,4.8,2.2,24.87,inches,0.79,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0733-1738,Amazon,15.99,15.99,10.91,4.29,2.8,25.08,inches,1.1,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0741-1641,Amazon,15.99,15.99,10.91,4.29,2.8,25.08,inches,0.88,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0706-M-40,Amazon,15.99,15.99,10.91,4.29,2.8,25.08,inches,1.15,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0902-2133,Amazon,13.99,13.99,10.2,3.95,2.8,23.69,inches,0.73,pounds,Lg-Std-Non-Media,USD,5.38,2.1,0,--,--,--,3.28
HM0753-941,Amazon,15.99,15.99,10.91,4.29,2.8,25.08,inches,0.88,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0733-1741,Amazon,15.99,15.99,10.91,4.41,2.91,25.55,inches,1.2,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0739-139,Amazon,15.99,15.99,10.87,4.33,2.83,25.2,inches,0.97,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0803-1244,Amazon,31.99,15.99,11.61,4.61,2.91,26.65,inches,1.05,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0722-M-39,Amazon,15.99,15.99,10.91,4.29,4.02,27.52,inches,1.2,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0701-1137,Amazon,13.99,13.99,10.98,4.29,2.8,25.16,inches,0.85,pounds,Lg-Std-Non-Media,USD,6.86,2.1,0,--,--,--,4.76
HM0737-Z-39,Amazon,16.99,16.99,10.91,4.29,4.02,27.52,inches,1.2,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0741-0237,Amazon,15.99,15.99,10.91,4.29,2.8,25.08,inches,0.75,pounds,Lg-Std-Non-Media,USD,5.68,2.4,0,--,--,--,3.28
HM0505-2035/36,Amazon,15.99,15.99,10,7.6,4.1,33.4,inches,0.95,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0739-239,Amazon,15.99,15.99,10.87,4.25,2.83,25.04,inches,0.93,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0701-2142,Amazon,13.99,13.99,11.5,4.49,2.8,26.06,inches,1.05,pounds,Lg-Std-Non-Media,USD,6.86,2.1,0,--,--,--,4.76
HM0714-239,Amazon,15.99,15.99,11.18,4.29,2.8,25.35,inches,1.1,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0720-1038,Amazon,14.99,14.99,10.79,4.29,2.8,24.96,inches,0.88,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0803-1243,Amazon,15.99,15.99,11.5,4.49,2.8,26.06,inches,1.1,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0722-B-38,Amazon,16.99,16.99,10.91,4.21,3.9,27.13,inches,1.2,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0729-M-40,Amazon,14.99,14.99,10.79,4.29,2.8,24.96,inches,0.84,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0715-1639,Amazon,14.99,14.99,10.98,4.29,2.8,25.16,inches,0.9,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0711-2641,Amazon,15.99,15.99,10.91,4.41,2.91,25.55,inches,1.2,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0753-936,Amazon,15.99,15.99,10.9,4.4,2.7,25.1,inches,0.85,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0701-F-42,Amazon,14.99,14.99,11.5,4.49,2.8,26.06,inches,1.05,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0726-1140,Amazon,15.99,15.99,10.91,4.29,2.8,25.08,inches,0.97,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0903-1636,Amazon,13.99,13.99,18.3,5,2.8,33.9,inches,0.85,pounds,Sm-Oversize,USD,10.74,2.1,0,--,--,--,8.64
HM0742-2238,Amazon,15.99,15.99,10.71,4.29,2.8,24.88,inches,0.75,pounds,Lg-Std-Non-Media,USD,5.68,2.4,0,--,--,--,3.28
HM0731-Y-38,Amazon,16.99,16.99,10.91,4.41,2.8,25.31,inches,1.05,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0505-1735/36,Amazon,16.99,16.99,10,7.6,4.1,33.4,inches,0.95,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0713-741,Amazon,9.99,15.99,10.79,4.29,2.8,24.96,inches,1.01,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0738-L-40,Amazon,14.99,14.99,10.79,4.29,2.91,25.2,inches,0.93,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0713-742,Amazon,15.99,15.99,11.5,4.5,2.9,26.3,inches,1.05,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0739-235,Amazon,15.99,15.99,10.8,4.35,2.9,25.3,inches,0.82,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0748-1738,Amazon,15.99,15.99,10.91,4.21,3.9,27.13,inches,1.2,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0741-0242,Amazon,15.99,15.99,10.87,4.8,2.2,24.87,inches,0.79,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0701-X-40,Amazon,14.99,14.99,10.98,4.41,2.8,25.39,inches,1.05,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0731-H-39,Amazon,16.99,16.99,10.98,4.41,2.8,25.39,inches,1.25,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0739-141,Amazon,15.99,15.99,10.85,4.3,2.85,25.15,inches,0.96,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0739-241,Amazon,15.99,15.99,10.85,4.3,2.85,25.14,inches,0.96,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0714-241,Amazon,15.99,15.99,10.91,4.41,2.91,25.55,inches,1.2,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0759-1039,Amazon,16.99,16.99,10.83,4.13,3.94,26.97,inches,1.21,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0751-2235,Amazon,15.99,15.99,10.8,4.3,2.9,25.2,inches,0.85,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0748-1741,Amazon,15.99,15.99,11.02,4.57,4.09,28.35,inches,0.97,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0731-H-37,Amazon,16.99,16.99,10.91,4.29,2.8,25.08,inches,0.75,pounds,Lg-Std-Non-Media,USD,5.83,2.55,0,--,--,--,3.28
HM0701-B-38,Amazon,14.99,14.99,10.79,4.29,2.8,24.96,inches,0.93,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0759-3239,Amazon,16.99,16.99,10.83,4.13,3.94,26.97,inches,1.21,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0733-1742,Amazon,15.99,15.99,11.8,4.5,2.8,26.4,inches,1.05,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0747-0138,Amazon,15.99,15.99,10.79,4.29,2.8,24.96,inches,0.88,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0729-L-37,Amazon,15.99,15.99,10.71,4.49,2.8,25.28,inches,0.75,pounds,Lg-Std-Non-Media,USD,5.68,2.4,0,--,--,--,3.28
HM0733-1240,Amazon,15.99,15.99,10.91,4.29,2.8,25.08,inches,1.15,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0722-C-39,Amazon,15.99,15.99,10.91,4.29,4.02,27.52,inches,1.2,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0751-2240,Amazon,15.99,15.99,10.91,4.29,2.8,25.08,inches,1,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0759-3240,Amazon,16.99,16.99,10.83,4.13,3.94,26.97,inches,1.21,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0759-1035,Amazon,16.99,16.99,10.9,4.3,4.1,27.69,inches,1.15,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0709-1242,Amazon,15.99,15.99,11.5,4.49,2.8,26.06,inches,1.05,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0742-0242,Amazon,15.99,15.99,11.7,4.5,2.8,26.3,inches,1.05,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0724-M-37,Amazon,15.99,15.99,10.79,4.41,2.8,25.2,inches,0.84,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0701-R-40,Amazon,14.99,14.99,10.98,4.41,2.8,25.39,inches,1.05,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0701-1141,Amazon,13.99,13.99,10.98,4.29,2.8,25.16,inches,1.2,pounds,Lg-Std-Non-Media,USD,6.86,2.1,0,--,--,--,4.76
HM0505-2041/42,Amazon,15.99,15.99,11.6,8.5,2.6,33.8,inches,1.25,pounds,Lg-Std-Non-Media,USD,7.66,2.4,0,--,--,--,5.26
HM0742-2242,Amazon,15.99,15.99,11.7,4.5,2.8,26.3,inches,1.05,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0738-Z-35,Amazon,15.99,15.99,10.9,4.35,2.9,25.4,inches,0.83,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0740-3242,Amazon,9.99,16.99,11.6,4.5,2.7,26,inches,1,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0709-1241,Amazon,15.99,15.99,10.98,4.29,2.8,25.16,inches,1.2,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0744-239,Amazon,15.99,15.99,11.18,4.29,2.8,25.35,inches,1.1,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0701-R-35,Amazon,14.99,14.99,10,5.9,2,25.8,inches,0.65,pounds,Lg-Std-Non-Media,USD,5.53,2.25,0,--,--,--,3.28
HM0722-M-38,Amazon,15.99,15.99,10.91,4.21,3.9,27.13,inches,1.2,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0701-1841,Amazon,14.99,14.99,10.98,4.29,2.8,25.16,inches,1.2,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0505-1733/34,Amazon,16.99,16.99,11.1,7.8,3.6,33.9,inches,1,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0701-R-42,Amazon,14.99,14.99,12.4,5.2,2.5,27.8,inches,0.8,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0731-Y-36,Amazon,17.99,17.99,10.9,4.4,2.7,25.09,inches,0.85,pounds,Lg-Std-Non-Media,USD,7.46,2.7,0,--,--,--,4.76
HM0715-3240,Amazon,14.99,14.99,10.91,4.29,2.8,25.08,inches,1,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0752-241,Amazon,15.99,15.99,10.85,4.3,2.85,25.15,inches,0.96,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0706-M-39,Amazon,15.99,15.99,11.18,4.29,2.8,25.35,inches,1.1,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0715-3238,Amazon,14.99,14.99,10.79,4.29,2.8,24.96,inches,0.93,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0801-B-45,Amazon,15.99,15.99,11.61,4.61,2.8,26.42,inches,1.1,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0753-1941,Amazon,15.99,15.99,10.91,4.29,2.8,25.08,inches,0.88,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0742-2237,Amazon,14.99,14.99,10.71,4.41,2.8,25.12,inches,0.71,pounds,Lg-Std-Non-Media,USD,5.53,2.25,0,--,--,--,3.28
HM0759-3238,Amazon,16.99,16.99,10.83,4.13,3.94,26.97,inches,1.21,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0807-143,Amazon,15.99,15.99,11.7,4.4,3.5,27.5,inches,1.2,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0722-M-40,Amazon,15.99,15.99,10.98,4.41,4.09,27.99,inches,1.3,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0722-H-38,Amazon,16.99,16.99,10.91,4.21,3.9,27.13,inches,1.2,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0701-H-39,Amazon,14.99,14.99,10.91,4.8,2.8,26.1,inches,1.1,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0701-X-35,Amazon,14.99,14.99,10.9,4.3,2.8,25.1,inches,0.85,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0737-Z-40,Amazon,16.99,16.99,10.98,4.41,4.09,27.99,inches,1.3,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0739-140,Amazon,15.99,15.99,11.3,4.3,2.9,25.7,inches,0.96,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0726-1138,Amazon,15.99,15.99,10.91,4.29,2.91,25.31,inches,0.93,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0744-2037,Amazon,14.99,14.99,10.91,4.41,2.8,25.31,inches,0.79,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0753-939,Amazon,15.99,15.99,10.98,4.41,2.8,25.39,inches,1.25,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0701-H-36,Amazon,14.99,14.99,9.6,4.5,2.7,24,inches,0.7,pounds,Lg-Std-Non-Media,USD,5.53,2.25,0,--,--,--,3.28
HM0733-1239,Amazon,9.99,15.99,10.79,4.29,2.8,24.96,inches,0.93,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0737-Z-36,Amazon,16.99,16.99,9.52,5.43,3.31,27,inches,0.75,pounds,Lg-Std-Non-Media,USD,5.83,2.55,0,--,--,--,3.28
HM0722-C-35,Amazon,15.99,15.99,10.9,4.3,4.1,27.69,inches,1.15,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0722-X-39,Amazon,15.99,15.99,10.91,4.29,4.02,27.52,inches,1.2,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0709-1938,Amazon,16.99,16.99,10.91,4.29,2.8,25.08,inches,0.88,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0752-3139,Amazon,15.99,15.99,10.87,4.33,2.83,25.2,inches,0.97,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0903-1235,Amazon,13.99,13.99,10.24,3.86,2.83,23.62,inches,0.84,pounds,Lg-Std-Non-Media,USD,6.86,2.1,0,--,--,--,4.76
HM0505-2039/40,Amazon,15.99,15.99,10.9,7.8,2.7,31.9,inches,1.15,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0709-1238,Amazon,15.99,15.99,10.79,4.29,2.8,24.96,inches,0.93,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0738-138,Amazon,15.99,15.99,10.79,4.29,2.8,24.96,inches,0.88,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
